2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 137.760284
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 29.897564
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:607] Info gain max updated = 28.396482
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:608] Info used max percent = 29.897564
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 0.472549
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 1.475000, -4.225000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 49, 71
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 15953
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 3.000000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 2
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 219.478271
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 18.441505
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:607] Info gain max updated = 103.714165
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:608] Info used max percent = 18.441505
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 0.686865
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: -1.375000, -4.225000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 30, 71
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 15934
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 3.000000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 2
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 143.631989
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 20.371885
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:617] ======== Max Info gain around frontier: 103.714165 ========
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:624] Navigating to left extreme of the frontier
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:473] Information gain based on unexplored cell count and beta parameter = 103.714165
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:474] frontier centroid distance = 4.350857
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:475] frontier Utility = 23.837642
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:522] ##############################################################
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 0.700188
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 2.621053, -2.936842
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 57, 80
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 17977
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 2.850000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 170.740036
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 8.115952
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:607] Info gain max updated = 119.550186
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:608] Info used max percent = 8.115952
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 1.032744
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 3.575000, -2.124999
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 63, 85
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 19103
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 2.850000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 202.669678
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 0.257689
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:607] Info gain max updated = 209.306000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:608] Info used max percent = 0.257689
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 0.291620
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 1.775000, -3.025000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 51, 79
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 17747
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 2.850000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 95.092422
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 21.337572
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:617] ======== Max Info gain around frontier: 209.306000 ========
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:624] Navigating to left extreme of the frontier
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:473] Information gain based on unexplored cell count and beta parameter = 209.306000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:474] frontier centroid distance = 3.984242
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:475] frontier Utility = 52.533461
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:522] ##############################################################
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 1.354042
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 4.475000, -0.474999
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 69, 96
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 21573
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 2.850000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 244.550278
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 0.000069
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:607] Info gain max updated = 331.131317
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:608] Info used max percent = 0.000069
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 1.399741
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 4.475000, 0.875001
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 69, 105
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 23589
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 2.850000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 264.942230
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 0.001355
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:607] Info gain max updated = 370.850433
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:608] Info used max percent = 0.001355
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 1.211010
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 4.175000, -1.524999
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 67, 89
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 20003
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 2.850000 meters 
